Page ID	Page Rank	Anchor Text	URL
204	0.00353980087769	['uStudent Research Examples', 'uhere', 'u(examples)']	http://www.infosci.cornell.edu/courses/Projectlist.htm
205	0.00594578553445	['uoffering notes']	http://www.infosci.cornell.edu/courses/SP11offeringnotes.html
206	0.00326361600781	['uNSDL Core Integration', 'uCore         Integration', 'uCore Integration', 'uNSDL at Cornell:         Core Integration']	http://www.infosci.cornell.edu/dl/core-integration.html
207	0.00304604160587	['uArchive of Digital Libraries Research', 'uArchive of digital library research at           Cornell ']	http://www.infosci.cornell.edu/dl/dl-archive.html
208	0.00304604160587	['uPeople']	http://www.infosci.cornell.edu/dl/dl-people.html
209	0.00304604160587	['uElectronic Publishing', 'uElectronic publishing']	http://www.infosci.cornell.edu/dl/epub.html
210	0.00905047969062	['uDigital Libraries Home', 'uDigital Libraries Home', 'uDigital Libraries &amp; Web Information ']	http://www.infosci.cornell.edu/dl/index.html
211	0.00326361598053	['uThe NSDL at Cornell', 'uThe             NSDL at Cornell', 'uNSDL at Cornell', 'uNSDL-funded         projects at Cornell']	http://www.infosci.cornell.edu/dl/nsdl-cornell.html
212	0.0719144368426	['faculty and researchers', 'uIS Faculty and Researchers', 'uFaculty Research Interests', 'Cornell Information Science', 'uFaculty & Researchers, <br />, u', 'uFaculty &amp; Researchers']	http://www.infosci.cornell.edu/facultyAndResearch/index.html
213	0.00668632409666	['urequired or recommended course', 'uSee list of Required &amp; Recommended           courses.']	http://www.infosci.cornell.edu/grad/classes.html
214	0.00676061658662	['uFAQs', 'u"FAQs"']	http://www.infosci.cornell.edu/grad/FAQgrad.html
215	0.198403236945	['grad programs', 'uPh.D. program', 'uProgram Overview', 'Cornell Information Science', 'uPh.D. degree']	http://www.infosci.cornell.edu/grad/index.html
216	0.00606411010068	['uAlumni']	http://www.infosci.cornell.edu/graduateStudents/alumni.html
217	0.147449412102	['graduate students', 'uPh.D Students', 'Cornell Information Science']	http://www.infosci.cornell.edu/graduateStudents/index.html
218	0.00294085372311	['uProject forms']	http://www.infosci.cornell.edu/hadoop/cac.html
219	0.00294085372311	['uHardware and software configuration']	http://www.infosci.cornell.edu/hadoop/config.html
220	0.00309822382212	['uhttp://www.infosci.cornell.edu/hadoop/docs.html', 'uDocumentation on Hadoop and MapReduce']	http://www.infosci.cornell.edu/hadoop/docs.html
221	0.00766986376661	['uHadoop      Home']	http://www.infosci.cornell.edu/hadoop/index.html
222	0.00330477207514	['uPreparing a MapReduce job on a Macintosh computer', 'uPreparing a MapReduce job from a Macintosh computer']	http://www.infosci.cornell.edu/hadoop/mac.html
223	0.00294085372133	['uMonitoring tools']	http://www.infosci.cornell.edu/hadoop/monitor.html
224	0.00294085372133	['uHints and examples of MapReduce programming']	http://www.infosci.cornell.edu/hadoop/prog.html
225	0.00294085372133	['uRunning a MapReduce job on the Hadoop cluster']	http://www.infosci.cornell.edu/hadoop/runjob.html
226	0.00330477207514	['uPreparing a MapReduce job on a Windows computer', 'uPreparing a MapReduce job from a Windows computer']	http://www.infosci.cornell.edu/hadoop/windows.html
227	0.00606556466625	['uJob Openings', 'Cornell Information Science']	http://www.infosci.cornell.edu/jobs/index.html
